name,skills
Cloud Architect,"Python Cloud Networking AWS Automation"
DevOps Engineer,"Python Cloud Automation Docker CI/CD Linux"
Backend Developer,"Python APIs Databases Backend SQL"
Data Scientist,"Python Machine Learning Statistics Data Analysis"
AI Engineer,"Python AI Machine Learning Deep Learning APIs OpenAI SDK Prompt Engineering LLM Generative AI Chatbot Development Prompt engineering"
Frontend Developer,"HTML CSS JavaScript React UI Development"
Cybersecurity Analyst,"Networking Linux Security Python Cybersecurity"
Data Engineer,"Python SQL Databases Data Engineering Cloud"
System Administrator,"Linux Networking Cloud Automation System Administration"
Machine Learning Engineer,"Python Machine Learning Deep Learning TensorFlow AI"


